,image_link,images_description
67,https://i.pinimg.com/236x/ea/9c/7c/ea9c7c5ea0798afefb290c6c56e9260d.jpg,"Beach Water Cocktail - just Sprite, Vodka and Rum"
68,https://i.pinimg.com/236x/58/c1/9b/58c19bd687284c4e346e06d918f73d9c.jpg,"Lemon Basil Spritzer~ Non Alcoholic ""Mocktail"" #lemonbasilspritzer #nonalcoholic #mocktail #keto #holidaydrinks"
69,https://i.pinimg.com/236x/65/a1/ca/65a1caf8dbf55bcb869991f91cf806a8.jpg,Corona Sunrise
70,https://i.pinimg.com/236x/02/9e/a4/029ea4320daf6afa2094acd66d23eba0.jpg,Making a caramel iced coffee in a mason jar.
71,https://i.pinimg.com/236x/bf/81/16/bf8116737be027642020bb05b976c05b.jpg,Peach Lemonade Slush Recipe
72,https://i.pinimg.com/236x/49/4f/c4/494fc48ffdb9ce73f796fbd589ab3c06.jpg,Fuzzy Leprechaun Cocktail ~ The drink is bright green but tastes like a peach.
73,https://i.pinimg.com/236x/96/49/a1/9649a12e8a0617bc642c869ca46ae960.jpg,Cinnamon Bourbon Old Fashioned | halfbakedharvest.com #bourbon #cocktail
74,https://i.pinimg.com/236x/92/e7/ca/92e7cab532e251af95c063f51a842af2.jpg,BEST Southern Sweet Tea Recipe! {With a Secret Ingredient}
75,https://i.pinimg.com/236x/ee/86/95/ee8695ade536c2fa9ce405e4f445e329.jpg,Easy Non-Alcoholic Strawberry Mojito
76,https://i.pinimg.com/236x/12/44/8f/12448fb5c2f45b12faabbca46d72168f.jpg,"Weihnachtlicher Drink mit Lillet, Birne und Zimt"
77,https://i.pinimg.com/236x/58/98/05/589805898d0df821873683269d452ee4.jpg,Homemade Southern Strawberry Lemonade
78,https://i.pinimg.com/236x/b8/a7/e1/b8a7e14a71daac752eb3c72f58c25355.jpg,"The New Orleans Hurricane Drink is the quintessential NOLA cocktail that always get the party started. Perfectly sweet, tropical, and highly addictive, they bring a little bit of The Big Easy right to your home.  #drink #alcoholicdrink #alcohol #hurricanedrink #cocktail #neworleans"
79,https://i.pinimg.com/236x/6a/d4/6a/6ad46aa6c68c6482f18b5ca370e2579d.jpg,Cherry Limeade
80,https://i.pinimg.com/236x/fa/b8/e8/fab8e8e4a547aac61bf6ed7639fdb379.jpg,Hawaiian Champagne Punch is the best mimosa recipe! Make it for brunch or for a party – it’s the perfect way to bring Hawaii to you!
81,https://i.pinimg.com/236x/db/9b/da/db9bda02b23f0e5c9ed6370925071dae.jpg,Coconut Lavender Lemonade - Jen Around the World
82,https://i.pinimg.com/236x/2d/dc/4a/2ddc4a09c0773598e70e4e8a406e38a4--fruit-water-fresh-fruit.jpg,
83,https://i.pinimg.com/236x/0f/6a/e5/0f6ae51166c994fe865944bd428d0db5--hendricks-gin-gin-bar.jpg,Gin Cucumber Cooler
84,https://i.pinimg.com/236x/cc/7d/57/cc7d578ca2e21c55d363b89410a9d0bd.jpg,Malibu Summer Rose Cocktail
85,https://i.pinimg.com/236x/3e/d8/6e/3ed86ec532a3c1098f543b60cd27f41e.jpg,Pineapple Margaritas - Tornadough Alli
86,https://i.pinimg.com/236x/57/a3/58/57a3581f422789935f4f78522e220e80.jpg,Kool-Aid Slushie Recipe | Kid Friendly Things To Do
87,https://i.pinimg.com/236x/1e/33/39/1e333948aab309a136669cb9cbefad7c--homemade-electrolyte-drink-summer-days.jpg,How to Make Electrolyte Water - The Dumbbelle
88,https://i.pinimg.com/236x/cd/e6/4c/cde64cfa7295301beafb18bd2dd93039.jpg,"Learn how to make agua fresca, a simple, refreshing, non-alcoholic blended drink of fruit, lime, and water. They're great for Cinco de Mayo and warm summertime fun! | #nonalcoholic #drinks #healthyrecipes #noaddedsugar | Nutrition to Fit"
89,https://i.pinimg.com/236x/1e/12/68/1e12686cdc2eda6d24124b3f5e77037b--beats-camping-drinks-for-kids.jpg,Root Beer Slushie Recipe! ~ at TheFrugalGirls.com ~ nothing beats ice cold Root Beer Slushies on a hot day! The perfect refreshing drink for kids and adults! #slushy #recipes #thefrugalgirls
90,https://i.pinimg.com/236x/08/5d/13/085d139854d8c1a509853fd377c7da6d.jpg,Cranberry Bourbon Sour | halfbakedharvest.com #bourbon #thanksgiving #cocktails #holiday #christmas
91,https://i.pinimg.com/236x/c4/75/29/c47529b4c82be474508056712610bf4d.jpg,Icy Pineapple Cherry Lemonade for the summer!
92,https://i.pinimg.com/236x/24/10/a2/2410a28993d35a31e0cf1b9e6019f96a.jpg,"Cinnamon spice and everything nice! This creamy and rich homemade horchata recipe is surprisingly easy to make at home; all you need are a few basic ingredients, a blender, and a mesh strainer. With warming cinnamon spice, this easy horchata would be delicious mixed with rum."
93,https://i.pinimg.com/236x/64/2c/cb/642ccb2377b825a8b4edd9636491d20d.jpg,Passion Fruit and Gin Fizz Cocktail - Food Duchess
94,https://i.pinimg.com/236x/47/d9/a2/47d9a2a05ea84afbc25a2aa4ced581e4--strawberry-mimosa-fancy-drinks.jpg,"This Pineapple Strawberry Mimosa is crisp and refreshing and perfect for brunch! It's a stand-by classic with a sweet, fun twist."
95,https://i.pinimg.com/236x/0c/45/bb/0c45bb85e475daf9b95c7984b274f374--picnic-drinks-slushie-recipe.jpg,Frozen Watermelon Slushies. The best and healthiest picnic drink this summer!
96,https://i.pinimg.com/236x/a0/3f/d2/a03fd222594a7821d16c95e463bc1c05.jpg,
